human_sentiment_label,human_sentiment_score,human_affective_extremity,human_is_subjective,human_emotion_joy,human_emotion_anger,human_emotion_sadness,human_emotion_fear,human_emotion_surprise,human_emotion_disgust,human_emotion_neutral,llm_sentiment_label,llm_sentiment_score,llm_affective_extremity,llm_is_subjective,llm_emotion_neutral,llm_emotion_joy,llm_emotion_surprise,llm_emotion_anger,llm_emotion_disgust,llm_emotion_sadness,llm_emotion_fear
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.5695065259933472,0.0,0,0.6308428049087524,0.22778794169425964,0.06228257715702057,0.03512350469827652,0.018808908760547638,0.014227673411369324,0.010926617309451103
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.8108832240104675,0.0,0,0.17813019454479218,0.20595651865005493,0.38534095883369446,0.07044409215450287,0.07095492631196976,0.059223685413599014,0.029949603602290154
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POSITIVE,0.7616651654243469,0.7616651654243469,1,0.04866684973239899,0.8777863383293152,0.0225974190980196,0.014516890048980713,0.017711415886878967,0.010665718466043472,0.008055350743234158
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.8610207438468933,0.0,0,0.009528502821922302,0.036708246916532516,0.011869559064507484,0.45721131563186646,0.019221052527427673,0.011264883913099766,0.4541964828968048
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.7567177414894104,0.0,0,0.05186628922820091,0.2706989049911499,0.38689953088760376,0.10686343163251877,0.010576887056231499,0.14349809288978577,0.029596809297800064
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEGATIVE,0.9723100662231445,0.9723100662231445,1,0.011147908866405487,0.015577470883727074,0.3133450746536255,0.008294712752103806,0.6377677917480469,0.0037105067167431116,0.010156538337469101
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEGATIVE,0.9598595499992371,0.9598595499992371,1,0.08315585553646088,0.2573513686656952,0.4107705354690552,0.02754342555999756,0.1371401697397232,0.04563009366393089,0.038408488035202026
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEGATIVE,0.974922776222229,0.974922776222229,1,0.06918732076883316,0.09880418330430984,0.3234740197658539,0.15578041970729828,0.1917695552110672,0.10965669900178909,0.05132786184549332
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.8927237391471863,0.0,0,0.21114766597747803,0.28885307908058167,0.11616512387990952,0.13329194486141205,0.07167275995016098,0.06039784476161003,0.11847169697284698
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.9613029956817627,0.0,0,0.10251779109239578,0.11019665747880936,0.5051989555358887,0.08100248873233795,0.049228277057409286,0.05245925113558769,0.09939657896757126
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.711178719997406,0.0,0,0.07826884835958481,0.07199489325284958,0.13741138577461243,0.17172107100486755,0.10281578451395035,0.17939171195030212,0.25839629769325256
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.5542861223220825,0.0,0,0.10823437571525574,0.08371630311012268,0.11047455668449402,0.1295006424188614,0.09995555877685547,0.09339868277311325,0.3747198283672333
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POSITIVE,0.5231108665466309,0.5231108665466309,1,0.0805928036570549,0.04903838410973549,0.04371892288327217,0.23512059450149536,0.06909690797328949,0.15376834571361542,0.36866405606269836
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEGATIVE,0.858300507068634,0.858300507068634,1,0.09786376357078552,0.07838770747184753,0.25120481848716736,0.12197762727737427,0.09132351726293564,0.15367133915424347,0.2055712789297104
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.5077077150344849,0.0,0,0.10705085098743439,0.1814594864845276,0.43288230895996094,0.04055831953883171,0.10847023129463196,0.11229193955659866,0.017286868765950203
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.9010704159736633,0.0,0,0.1822730153799057,0.11272475123405457,0.29295286536216736,0.12877871096134186,0.09194422513246536,0.0795448049902916,0.11178164929151535
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.8775390386581421,0.0,0,0.18831145763397217,0.16967318952083588,0.21142560243606567,0.14452014863491058,0.0805429145693779,0.1086903065443039,0.09683637320995331
,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.7386207580566406,0.0,0,0.24009935557842255,0.15258944034576416,0.1435694694519043,0.15187083184719086,0.11534202843904495,0.09137455374002457,0.10515435039997101
