thread_id,thread_title,question,post_date,comment,Generated_OpenAI_Comment
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-03,"Kjell & Company har en massa lösningar, besök en sådan butik så lär dom dig, dom har dessutom en bra bok dom säljer billigt med en massa bra lösningar","Hej! Det låter som att du har problem med WiFi-signalen i huset. En bra lösning kan vara att investera i en WiFi-förlängare, även kallad repeater, som kan hjälpa till att förstärka signalen i de områden där den är svag. Det finns också powerline-adaptrar som använder eluttagen för att skicka signalen, vilket kan vara en stabil lösning. Tänk på att placera din router så centralt som möjligt för att maximera täckningen. Lycka till! 😊"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-03,"
Tack","Hej! För att förbättra din trådlösa signal kan du verkligen överväga att använda en så kallad powerline-adapter. De kopplar in i eluttagen och använder husets elnät för att överföra internet. Du sätter en i samma uttag som routern och en annan där du behöver bättre signal. Det är relativt enkelt att installera och ger ofta en bättre och stabilare anslutning än wi-fi, speciellt om det är tjocka väggar mellan dig och routern. Kolla också om du kan få en bättre router som stöder nyare standarder, så som Wi-Fi 5 eller 6, för ännu bättre prestanda. Lycka till!"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-03,"
Lugnt och även på nätet så är beskrivningarna av prylarna jävligt bra på kjell.com","Hej! Det låter som ett klassiskt problem med WiFi-signal! En enkel lösning kan vara att köpa en WiFi-extender eller repeater som du kan placera någonstans mellan routern och nedervåningen. Dom brukar vara lättanvända – du stoppar in dem i eluttaget, kopplar dem till ditt WiFi och så förstärker de signalen. Det finns också powerline-adaptrar, som du nämnde, där du kopplar in en adapter i ett eluttag nära routern och en annan i rummet där du har problem. Det kan ge en stabilare anslutning. Kolla också gärna om det finns uppdateringar för din router, ibland kan det hjälpa! Lycka till!"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-03,"Hur funkar det, nätverk:
http://www.kjell.com/fraga-kjell/hur-funkar-det/natverk/terminologi-och-anslutningar
Om Homeplug:
http://www.kjell.com/fraga-kjell/hur-funkar-det/natverk/hemnatverk/lokalt-tradbundet-natverk
Devolo:
http://devolo.se/","Hej! Det låter som en klassisk problematik med WiFi-signal som inte räcker till hela huset. Att använda ett nätverksuttag (Powerline-adapter) kan verkligen vara en bra lösning, då de använder din befintliga elledning för att överföra internet. Du kopplar in en adaptern nära routern och den andra i rummet där du har svaga signaler, så får du en stabilare anslutning. Tänk också på att byta till en router som stödjer det senaste WiFi-standarderna (typ WiFi 5 eller 6), det kan göra en stor skillnad! Alternativt kan du även kolla på en repeater eller mesh-system för att få en bredare och starkare täckning. Lycka till!"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-08,ignorera detta,"Hej! Det låter som du behöver en lösning för att förbättra din wifi-signal. Det du nämner med att använda något som går i eluttagen kallas för powerline-adapter, och det kan vara en bra lösning för att få bättre internet på nedanvåningen. Du kopplar in en adapter nära din router och den andra adaptern där du vill ha en starkare signal. Du kan även tänka på att köpa en wifi-förstärkare eller en mesh-router som sprider signalen bättre i huset. Lycka till!"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-08,"
Leffe1337
 med tanke på ditt inlägg så tror jag en repeater fungerar bäst. Dock bör du vara medveten om att den lösningen inte är så stabil alla gånger. Men om du kan leva med det, då funkar det nog bra för dig. På kjell finns lite olika varianter av repeaters för trådlösa nät.","Hej! Det låter som att du har problem med WiFi-signalen när du är längre bort från routern. En lösning kan vara att skaffa en så kallad WiFi-extender eller repeater, som du kan sätta i ett eluttag på nedervåningen. Den fångar upp signalen från din router och förstärker den så att den når längre. Ett annat alternativ är att titta på ett powerline-nätverk, som du nämnde - det innebär att du använder elledningarna för att överföra internet. Det kan vara mycket effektivt! Kolla gärna upp några recensioner innan du köper, så hittar du något som passar dina behov. Lycka till!"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-09,"Med en sån här T-koppling kan du ha två antenner, en för vertikal och en för horisontal kommunikation.
http://www.ebay.com/itm/RP-SMA-Female-2-RP-SMA-Male-adapter-Router-NIC-/370415898481?pt=LH_DefaultDomain_0&hash=item563e82  0f71","Hej! Det låter som att du har problem med att få en bra signal nerifrån. En lösning kan vara att skaffa en WiFi-repeater eller en så kallad nätverksförlängare som du kan sätta någonstans mitt emellan routern och vardagsrummet/köket. De brukar vara ganska lätta att installera och kan hjälpa till att fördela signalen bättre. Ett annat alternativ är att kolla på powerline-adaptrar, som du nämnde, som använder elledningarna för att skicka nätverkssignalen. Båda alternativen kan definitivt göra din internetuppkoppling mycket stabilare. Lycka till!"
2155821,Otroligt dåligt trådlöst 1 våning ner i huset (comhem) Tips på nytt?,"Hej
Har 24 mbit/s ner och 1mbit/s upp.
Min trådlösa router är på ovanvåningen i huset och om jag sitter på nedanvåningen i vardagsrummet eller i köket är signalen helt hopplös, internet är fruktansvärt långsamt och oftast funkar det inte ens, går inte att streama klipp i 480p upplösning osv...
Vad kan jag köpa för att""förlänga"" internet eller göra det""starkare""?
Har läst lite om något man kan sätta i Eluttagen ..men jag är inte så duktig inom området så ni får hjälpa mig!
MVH
EDIT: Har denna routern Netgear CG3100",2013-06-09,"Köpa en lös router med bra wifi, cg3100 är ökänd för sin extremt dåliga wifi.","Hej! Det låter som du behöver en nätverkslösning som kan förbättra din täckning. Ett par alternativ är att skaffa en WiFi-extender som förstärker din befintliga signal, eller en Powerline-adapter som använder elnätet för att överföra internet. Powerline-adaptrar är ofta lite enklare att installera och kan ge bättre stabilitet i vissa fall. Om du vill ha ännu bättre täckning kan du även kolla på ett Mesh-nätverk, som ger dig en mer enhetlig signal i hela huset. Lycka till! 😊"
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-20,Det beror på varan.,"Det beror lite på vad gainern består av, men generellt sett väger 1 dl pulver ungefär 100 gram. Så om du ska ha i 50 gram så kan du ta hälften av ett dl-mått. Enligt min erfarenhet kan det vara bra att använda en våg för att vara exakt, men en halv dl funkar oftast bra! 😊"
329891,Omvandla gram till dl?,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2006-05-20,Har du linjal kan du lägga ut en lina på bordet och mäta. En dm motsvarar 20 gram. Så mät upp 25 cm gainer.,"Det beror lite på vilken typ av gainer du har, men generellt sett väger 1 dl ungefär 100-120 gram beroende på konsistensen. Om din gainer är i pulverform och ligger runt 100 gram per dl, så skulle 50 gram vara ungefär en halv dl. Bästa tipset är att använda en köksvåg för att vara exakt!"
