human_hedge_rate,human_hedge_count,human_hedge_formal_rate,human_hedge_formal_count,human_hedge_neutral_rate,human_hedge_neutral_count,human_hedge_informal_rate,human_hedge_informal_count,human_negation_rate,human_negation_count,human_epistemic_rate,human_epistemic_count,human_negation_sentence_rate,human_n_alpha_tokens,llm_hedge_rate,llm_hedge_count,llm_hedge_formal_rate,llm_hedge_formal_count,llm_hedge_neutral_rate,llm_hedge_neutral_count,llm_hedge_informal_rate,llm_hedge_informal_count,llm_negation_rate,llm_negation_count,llm_epistemic_rate,llm_epistemic_count,llm_negation_sentence_rate,llm_n_alpha_tokens
1.5037593984962405,2,0.0,0,1.5037593984962405,2,0.0,0,0.0,0,0.7518796992481203,1,0.0,133,1.8987341772151898,6,0.0,0,1.5822784810126582,5,0.31645569620253167,1,1.5822784810126582,5,0.0,0,0.35714285714285715,316
1.015228426395939,2,0.0,0,1.015228426395939,2,0.0,0,0.0,0,1.015228426395939,2,0.0,197,1.8324607329842932,7,0.0,0,1.5706806282722514,6,0.2617801047120419,1,0.7853403141361257,3,0.0,0,0.14285714285714285,382
2.9535864978902953,7,0.0,0,2.9535864978902953,7,0.0,0,0.8438818565400844,2,0.0,0,0.18181818181818182,237,1.7421602787456445,5,0.0,0,1.3937282229965158,4,0.34843205574912894,1,1.3937282229965158,4,0.0,0,0.2857142857142857,287
2.197802197802198,2,0.0,0,2.197802197802198,2,0.0,0,1.098901098901099,1,0.0,0,0.2,91,1.7369727047146402,7,0.0,0,1.488833746898263,6,0.24813895781637718,1,0.7444168734491315,3,0.24813895781637718,1,0.14285714285714285,403
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,119,2.0761245674740483,6,0.0,0,1.3840830449826989,4,0.6920415224913494,2,1.3840830449826989,4,0.0,0,0.36363636363636365,289
1.3888888888888888,1,0.0,0,1.3888888888888888,1,0.0,0,0.0,0,2.7777777777777777,2,0.0,72,1.2307692307692308,8,0.15384615384615385,1,0.7692307692307693,5,0.3076923076923077,2,1.3846153846153846,9,0.46153846153846156,3,0.25806451612903225,650
1.2987012987012987,3,0.0,0,0.0,0,1.2987012987012987,3,0.4329004329004329,1,0.0,0,0.08333333333333333,231,2.719033232628399,9,0.3021148036253776,1,1.5105740181268883,5,0.9063444108761329,3,1.2084592145015105,4,0.6042296072507553,2,0.26666666666666666,331
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,153,1.392757660167131,5,0.0,0,1.392757660167131,5,0.0,0,1.1142061281337048,4,0.2785515320334262,1,0.25,359
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,208,1.5384615384615385,4,0.0,0,1.5384615384615385,4,0.0,0,1.1538461538461537,3,0.0,0,0.23076923076923078,260
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,115,1.278772378516624,5,0.2557544757033248,1,0.5115089514066496,2,0.5115089514066496,2,0.5115089514066496,2,0.0,0,0.10526315789473684,391
