group,token_length
Informal Human,26
Informal Human,31
Informal Human,17
Informal Human,27
Informal Human,21
Informal Human,20
Informal Human,4
Informal Human,6
Informal Human,6
Informal Human,30
Informal Human,16
Informal Human,11
Informal Human,13
Informal Human,17
Informal Human,3
Informal Human,29
Informal Human,63
Informal Human,49
Informal Human,12
Informal Human,19
Informal Human,35
Informal Human,23
Informal Human,51
Informal Human,19
Informal Human,21
Informal Human,22
Informal Human,135
Informal Human,199
Informal Human,8
Informal Human,12
Informal Human,107
Informal Human,8
Informal Human,6
Informal Human,13
Informal Human,24
Informal Human,206
Informal Human,32
Informal Human,13
Informal Human,17
Informal Human,32
Informal Human,108
Informal Human,177
Informal Human,114
Informal Human,15
Informal Human,77
Informal Human,64
Informal Human,19
Informal Human,9
Informal Human,20
Informal Human,12
Informal Human,135
Informal Human,23
Informal Human,37
Informal Human,151
Informal Human,132
Informal Human,19
Informal Human,20
Informal Human,4
Informal Human,31
Informal Human,11
Informal Human,28
Informal Human,4
Informal Human,9
Informal Human,15
Informal Human,17
Informal Human,11
Informal Human,100
Informal Human,102
Informal Human,40
Informal Human,56
Informal Human,41
Informal Human,11
Informal Human,5
Informal Human,15
Informal Human,20
Informal Human,4
Informal Human,48
Informal Human,48
Informal Human,258
Informal Human,24
Informal Human,17
Informal Human,47
Informal Human,35
Informal Human,10
Informal Human,49
Informal Human,8
Informal Human,4
Informal Human,4
Informal Human,5
Informal Human,7
Informal Human,11
Informal Human,15
Informal Human,25
Informal Human,125
Informal Human,76
Informal Human,26
Informal Human,83
Informal Human,44
Informal Human,42
Informal Human,51
Informal Human,72
Informal LLM,39
Informal LLM,77
Informal LLM,54
Informal LLM,63
Informal LLM,66
Informal LLM,51
Informal LLM,63
Informal LLM,70
Informal LLM,86
Informal LLM,167
Informal LLM,177
Informal LLM,179
Informal LLM,188
Informal LLM,200
Informal LLM,80
Informal LLM,65
Informal LLM,119
Informal LLM,141
Informal LLM,159
Informal LLM,108
Informal LLM,148
Informal LLM,49
Informal LLM,46
Informal LLM,67
Informal LLM,58
Informal LLM,42
Informal LLM,61
Informal LLM,52
Informal LLM,32
Informal LLM,45
Informal LLM,52
Informal LLM,53
Informal LLM,52
Informal LLM,136
Informal LLM,108
Informal LLM,116
Informal LLM,152
Informal LLM,153
Informal LLM,161
Informal LLM,136
Informal LLM,259
Informal LLM,251
Informal LLM,303
Informal LLM,274
Informal LLM,302
Informal LLM,74
Informal LLM,36
Informal LLM,80
Informal LLM,106
Informal LLM,75
Informal LLM,63
Informal LLM,74
Informal LLM,126
Informal LLM,135
Informal LLM,143
Informal LLM,99
Informal LLM,179
Informal LLM,159
Informal LLM,197
Informal LLM,157
Informal LLM,108
Informal LLM,155
Informal LLM,145
Informal LLM,164
Informal LLM,145
Informal LLM,185
Informal LLM,147
Informal LLM,74
Informal LLM,67
Informal LLM,100
Informal LLM,97
Informal LLM,356
Informal LLM,350
Informal LLM,472
Informal LLM,422
Informal LLM,118
Informal LLM,145
Informal LLM,165
Informal LLM,100
Informal LLM,181
Informal LLM,200
Informal LLM,182
Informal LLM,183
Informal LLM,223
Informal LLM,199
Informal LLM,255
Informal LLM,307
Informal LLM,321
Informal LLM,252
Informal LLM,191
Informal LLM,53
Informal LLM,40
Informal LLM,100
Informal LLM,94
Informal LLM,119
Informal LLM,119
Informal LLM,311
Informal LLM,107
Informal LLM,165
Informal LLM,128
Informal LLM,124
Informal LLM,109
Informal LLM,215
Informal LLM,123
Informal LLM,135
Informal LLM,157
Informal LLM,116
Informal LLM,153
Informal LLM,114
Informal LLM,99
Informal LLM,142
Informal LLM,141
Informal LLM,172
Informal LLM,25
Informal LLM,23
Informal LLM,31
Informal LLM,25
Informal LLM,26
Informal LLM,70
Informal LLM,64
Informal LLM,77
Informal LLM,53
Informal LLM,60
Informal LLM,118
Informal LLM,108
Informal LLM,81
Informal LLM,199
Informal LLM,186
Informal LLM,196
Informal LLM,190
Informal LLM,237
Informal LLM,66
Informal LLM,118
Informal LLM,138
Informal LLM,227
Informal LLM,181
Informal LLM,99
Informal LLM,285
Informal LLM,261
Informal LLM,217
Informal LLM,184
Informal LLM,196
Informal LLM,257
Informal LLM,192
Informal LLM,249
Informal LLM,181
Informal LLM,208
Informal LLM,208
Informal LLM,191
Informal LLM,159
Informal LLM,159
Informal LLM,226
Informal LLM,86
Informal LLM,99
Informal LLM,91
Informal LLM,65
Informal LLM,161
Informal LLM,128
Informal LLM,49
Informal LLM,240
Informal LLM,237
Informal LLM,252
Informal LLM,53
Informal LLM,43
Informal LLM,98
Informal LLM,99
Informal LLM,118
Informal LLM,182
Informal LLM,199
Informal LLM,178
Informal LLM,202
Informal LLM,222
Informal LLM,150
Informal LLM,137
Informal LLM,110
Informal LLM,74
Informal LLM,74
Informal LLM,56
Informal LLM,136
Informal LLM,167
Informal LLM,144
Informal LLM,164
Informal LLM,51
Informal LLM,201
Informal LLM,158
Informal LLM,142
Informal LLM,143
Informal LLM,167
Informal LLM,23
Informal LLM,38
Informal LLM,24
Informal LLM,29
Informal LLM,29
Informal LLM,252
Informal LLM,233
Informal LLM,213
Informal LLM,201
Informal LLM,240
Informal LLM,86
Informal LLM,114
Informal LLM,109
Informal LLM,175
Informal LLM,149
Informal LLM,163
