human_sentiment_label,human_sentiment_score,human_affective_extremity,human_is_subjective,human_emotion_neutral,human_emotion_disgust,human_emotion_surprise,human_emotion_joy,human_emotion_fear,human_emotion_anger,human_emotion_sadness,llm_sentiment_label,llm_sentiment_score,llm_affective_extremity,llm_is_subjective,llm_emotion_surprise,llm_emotion_disgust,llm_emotion_anger,llm_emotion_joy,llm_emotion_sadness,llm_emotion_fear,llm_emotion_neutral
NEUTRAL,0.7699792385101318,0.230021,0,0.16901110112667084,0.1488557606935501,0.1453370451927185,0.14148284494876862,0.13502435386180878,0.1334465891122818,0.12684233486652374,NEUTRAL,0.9195162653923035,0.080484,0,0.4767189919948578,0.15621858835220337,0.13120228052139282,0.08282364159822464,0.05678490921854973,0.05191604048013687,0.04433552548289299
NEUTRAL,0.9172602295875549,0.08274,0,0.030413730069994926,0.2775387763977051,0.19003699719905853,0.15392637252807617,0.0892048254609108,0.1775440275669098,0.08133519440889359,NEUTRAL,0.9285252094268799,0.071475,0,0.6895516514778137,0.09677150100469589,0.0875428318977356,0.02557346783578396,0.03417918086051941,0.04516827315092087,0.021213093772530556
NEUTRAL,0.9521519541740417,0.047848,0,0.1085737943649292,0.1355765461921692,0.3025398850440979,0.11482714861631393,0.07934693247079849,0.16285455226898193,0.09628118574619293,NEUTRAL,0.9000710248947144,0.099929,0,0.10993081331253052,0.6728115677833557,0.06293696910142899,0.030137289315462112,0.08601720631122589,0.02616787515580654,0.011998261325061321
NEUTRAL,0.9611010551452637,0.038899,0,0.16428223252296448,0.16046328842639923,0.07630263268947601,0.16482879221439362,0.14150522649288177,0.18410229682922363,0.10851557552814484,NEUTRAL,0.9513047337532043,0.048695,0,0.06984163820743561,0.2807828485965729,0.2596830427646637,0.241952046751976,0.08812817186117172,0.04754078760743141,0.012071610428392887
NEUTRAL,0.9414620995521545,0.058538,0,0.05079450458288193,0.20831243693828583,0.3104695975780487,0.13726851344108582,0.07585939764976501,0.15244732797145844,0.06484821438789368,NEUTRAL,0.92311692237854,0.076883,0,0.5870925188064575,0.20494408905506134,0.08487465232610703,0.040327299386262894,0.028938602656126022,0.027433225885033607,0.026389537379145622
NEUTRAL,0.9467045664787292,0.053295,0,0.06921691447496414,0.1846356838941574,0.2450350522994995,0.13524988293647766,0.10485415160655975,0.16365286707878113,0.09735550731420517,NEUTRAL,0.945357620716095,0.054642,0,0.279183954000473,0.1473982036113739,0.1235533133149147,0.20229355990886688,0.1164393499493599,0.08134087175130844,0.04979069158434868
NEUTRAL,0.9654640555381775,0.034536,0,0.052374448627233505,0.08222807198762894,0.2504930794239044,0.10871284455060959,0.08079538494348526,0.36639541387557983,0.059000756591558456,NEUTRAL,0.903713047504425,0.096287,0,0.4155578017234802,0.1079840362071991,0.12311787158250809,0.10724551975727081,0.0749555379152298,0.10132161527872086,0.06981759518384933
NEUTRAL,0.9407098293304443,0.05929,0,0.39774927496910095,0.07922852039337158,0.13135124742984772,0.13619258999824524,0.06459994614124298,0.1326102614402771,0.05826812982559204,NEUTRAL,0.9411907196044922,0.058809,0,0.213643878698349,0.17698934674263,0.1668989211320877,0.1705702245235443,0.10665834695100784,0.10938217490911484,0.055857058614492416
NEUTRAL,0.8043524622917175,0.195648,0,0.14056959748268127,0.14310595393180847,0.14456459879875183,0.13172049820423126,0.14590831100940704,0.16947650909423828,0.12465449422597885,NEUTRAL,0.944847583770752,0.055152,0,0.40278083086013794,0.1169523373246193,0.17799392342567444,0.13822777569293976,0.04471909999847412,0.06562958657741547,0.05369643494486809
NEUTRAL,0.9238706827163696,0.076129,0,0.06747886538505554,0.2374049425125122,0.1319623738527298,0.12116739153862,0.1782388687133789,0.16837477684020996,0.09537279605865479,NEUTRAL,0.9167566895484924,0.083243,0,0.24130932986736298,0.09316369146108627,0.3537316918373108,0.11370277404785156,0.06063779070973396,0.1015031635761261,0.035951610654592514
NEUTRAL,0.9591504335403442,0.04085,0,0.038831546902656555,0.1835564225912094,0.46139177680015564,0.11940706521272659,0.038577888160943985,0.12197257578372955,0.036262720823287964,NEUTRAL,0.9267998337745667,0.0732,0,0.4477322995662689,0.20133548974990845,0.07995288819074631,0.08229262381792068,0.060246702283620834,0.05624385178089142,0.07219619303941727
NEUTRAL,0.9534924030303955,0.046508,0,0.08042678982019424,0.15874812006950378,0.2767695188522339,0.1395808458328247,0.05375773832201958,0.19565321505069733,0.09506375342607498,NEUTRAL,0.9510774612426758,0.048923,0,0.2557947039604187,0.17798855900764465,0.13835231959819794,0.12242449820041656,0.11028315871953964,0.05943071097135544,0.13572604954242706
NEUTRAL,0.7139189839363098,0.286081,0,0.1453641951084137,0.14223448932170868,0.2353869527578354,0.10600645840167999,0.10029564797878265,0.150112122297287,0.12060020118951797,NEUTRAL,0.9450823664665222,0.054918,0,0.18627119064331055,0.171852245926857,0.23710039258003235,0.15585273504257202,0.12311041355133057,0.06359689682722092,0.06221609562635422
NEUTRAL,0.7854610681533813,0.214539,0,0.03506206348538399,0.037424419075250626,0.7741108536720276,0.03420555591583252,0.03738148882985115,0.0527772381901741,0.029038330540060997,NEUTRAL,0.951235830783844,0.048764,0,0.052244529128074646,0.6890869140625,0.057129960507154465,0.06975063681602478,0.08280234038829803,0.04226385056972504,0.006721744313836098
NEUTRAL,0.9468299150466919,0.05317,0,0.04177796095609665,0.11798522621393204,0.3499361276626587,0.1717824786901474,0.1064576655626297,0.13396470248699188,0.07809585332870483,NEUTRAL,0.9431492686271667,0.056851,0,0.1288379728794098,0.04561146721243858,0.6759977340698242,0.04944002628326416,0.03144330531358719,0.04234802722930908,0.02632143720984459
NEUTRAL,0.9155972599983215,0.084403,0,0.06931018084287643,0.2901305854320526,0.18748944997787476,0.10915318876504898,0.10268070548772812,0.12417533248662949,0.11706055700778961,NEUTRAL,0.8909057378768921,0.109094,0,0.22804543375968933,0.1548166126012802,0.15427184104919434,0.14095157384872437,0.1486363559961319,0.09396164119243622,0.07931658625602722
NEUTRAL,0.9383884072303772,0.061612,0,0.05521172657608986,0.18533869087696075,0.3030347228050232,0.10055050998926163,0.10677894204854965,0.1478027105331421,0.10128270834684372,NEUTRAL,0.9297283887863159,0.070272,0,0.21138234436511993,0.30235394835472107,0.12728752195835114,0.06665953248739243,0.18606507778167725,0.09075497090816498,0.015496556647121906
