human_hedge_rate,human_hedge_count,human_hedge_formal_rate,human_hedge_formal_count,human_hedge_neutral_rate,human_hedge_neutral_count,human_hedge_informal_rate,human_hedge_informal_count,human_negation_rate,human_negation_count,human_epistemic_rate,human_epistemic_count,human_negation_sentence_rate,human_n_alpha_tokens,llm_hedge_rate,llm_hedge_count,llm_hedge_formal_rate,llm_hedge_formal_count,llm_hedge_neutral_rate,llm_hedge_neutral_count,llm_hedge_informal_rate,llm_hedge_informal_count,llm_negation_rate,llm_negation_count,llm_epistemic_rate,llm_epistemic_count,llm_negation_sentence_rate,llm_n_alpha_tokens
1.5037593984962405,2,0.0,0,1.5037593984962405,2,0.0,0,0.0,0,0.7518796992481203,1,0.0,133,2.1699819168173597,12,0.0,0,2.1699819168173597,12,0.0,0,0.5424954792043399,3,0.3616636528028933,2,0.061224489795918366,553
1.015228426395939,2,0.0,0,1.015228426395939,2,0.0,0,0.0,0,1.015228426395939,2,0.0,197,1.4173228346456692,9,0.31496062992125984,2,0.6299212598425197,4,0.47244094488188976,3,0.47244094488188976,3,0.0,0,0.03529411764705882,635
2.9535864978902953,7,0.0,0,2.9535864978902953,7,0.0,0,0.8438818565400844,2,0.0,0,0.18181818181818182,237,1.0460251046025104,5,0.0,0,0.8368200836820083,4,0.20920502092050208,1,0.20920502092050208,1,0.0,0,0.019230769230769232,478
2.197802197802198,2,0.0,0,2.197802197802198,2,0.0,0,1.098901098901099,1,0.0,0,0.2,91,0.2288329519450801,1,0.0,0,0.2288329519450801,1,0.0,0,0.2288329519450801,1,0.2288329519450801,1,0.02564102564102564,437
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,119,1.2605042016806722,6,0.21008403361344538,1,0.8403361344537815,4,0.21008403361344538,1,0.21008403361344538,1,0.0,0,0.02040816326530612,476
1.3888888888888888,1,0.0,0,1.3888888888888888,1,0.0,0,0.0,0,2.7777777777777777,2,0.0,72,0.23201856148491878,2,0.0,0,0.11600928074245939,1,0.11600928074245939,1,1.2761020881670533,11,0.8120649651972158,7,0.11578947368421053,862
1.2987012987012987,3,0.0,0,0.0,0,1.2987012987012987,3,0.4329004329004329,1,0.0,0,0.08333333333333333,231,0.7633587786259542,3,0.0,0,0.5089058524173028,2,0.2544529262086514,1,0.2544529262086514,1,0.0,0,0.022727272727272728,393
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,153,0.20964360587002095,1,0.0,0,0.20964360587002095,1,0.0,0,0.20964360587002095,1,0.0,0,0.018867924528301886,477
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,208,0.27548209366391185,1,0.0,0,0.27548209366391185,1,0.0,0,0.0,0,0.0,0,0.0,363
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,115,0.0,0,0.0,0,0.0,0,0.0,0,0.25773195876288657,1,0.0,0,0.022222222222222223,388
